trial_number,condition,real_passage,jabber_passage,target_word,target_word_position,unmasked_word_indices,entropy,target_probability,target_log_probability,target_pos,og_passage_seed_number,passage_id
1,most_masked,The old woman sat on the porch swing. She watched the sun slowly dip below the horizon.,The fuite twouch blalfed on the splelve snaitch. She girgeed the thradd knerb knunt below the skorgue.,sat,3.0,"[2, 7, 6, 11]",2.996272087,0.4137084484,-0.882593751,verb,1.0,
2,most_masked,A raging storm ravaged the nearby forest as howling winds caused a cacophony of noise inside the house. A thick curtain of fog descended upon the town leaving nothing in its wake.,A uzzing julge snished the droaf peighth as flyming loiles swoaned a jealt of phrawp strame the skute. A geathe knurge of crurp rharveed gheck the gwork palphing fraif in its phrus.,fog,22.0,"[17, 6, 26, 12, 5, 20]",1.2082415,0.03917697072,-3.239666224,noun,18.0,
3,most_masked,The novel held my complete attention; I found it impossible to stop once started reading.,The clilk slessed my glou frier; I yirted it thrawn to glym once phrean jach.,reading,14.0,"[2, 9, 11]",1.103490829,0.06929683685,-2.669356108,verb,7.0,
4,most_masked,"The leather-bound volume, its spine cracked and edges frayed, sat nestled amongst stacks of yellowed legal documents on the dusty archive shelf. A subtle, yet distinct, scent of archival tobacco lingered in the air, a reminder of past research sessions held within these walls.","The twoar-ghilm prurg, its ghight phreaned and fusps fluched, thirted thrarceed twuch gwulps of spruch phalf pagues on the strasp splelt yarse. A dwoath, wheace wroaf, whirge of squin bratch thworceed in the julge, a predge of glaun scule phonges strilgeed dreave these whealts.",dusty,19.0,"[21, 12, 15, 2, 4, 16]",2.5295255,0.515,-0.6640956998,adjective,4.0,
5,most_masked,Boldly colored strokes created an impressive landscape that felt alive due to its deep hues and flowing motion. The smooth transitions between the colorful elements produced a remarkable visual impact.,Shrert yelked drenes gwiched an slarn tweave that gloach phriff scraque to its brife thauces and yirting gloch. The flusp splitchs between the twaul flurls churged a speich phlumf snamn.,landscape,6.0,"[16, 13, 5, 3, 27, 9]",4.4466114,0.03813933209,-3.266509295,noun,10.0,
6,most_masked,A worried expression marked the aged woman's face as she took a seat in the park and cast her eyes towards the far-off horizon.,A throrm dwoath gwuibed the splowned snourn's thonch as she dawseed a lauce in the nalf and skalk her clirps psech the spleef-off strerth.,horizon,23.0,"[10, 6, 2, 1, 12]",2.8372762,0.545,-0.6067419052,noun,30.0,
7,most_masked,"As dusk settled, the brilliant hues of the setting sun touched every cloud with its own unique touch, showcasing a spectacular display of color. High up in the air, birds soared through the fading twilight, occasionally dipping their wings to catch those fleeting moments of warmth from the sunlight still illuminating them.","As gnirk knonged, the gync frabes of the pham rhelf screaceed thrarque swalm with its own scrauche screace, ghilm a twotch thech of phrawp. Ghimn up in the phlolve, skepes rharveed through the snowse usque, gheint scrasing their guelchs to jorl those sprull pheuths of skourt from the psume tisp phouting them.",display,21.0,"[38, 30, 24, 48, 16, 8]",3.1380866,0.3626528978,-1.014309168,noun,8.0,
8,most_masked,"For many long years, archaeologists meticulously examined the relics buried deep within the sands.","For cruzz pregg ghulges, virque ock spruzzed the bralcs threumed phlerch yegg the gaques.",years,3.0,"[2, 8, 9, 13]",1.8407437,0.05046397448,-2.986495495,noun,22.0,
9,most_masked,Dusty cobwebs clung to fragile objects tucked away in the dimly lit attic. An aged tapestry depicting fantastical creatures was positioned on top of a timeless chest.,Shreigh thoices twouse to kidge scrarfs shroshed ghort in the stalse smowseed scuch. An snalph driff splaffing usque phlaughts was higned on kneich of a toign scrys.,chest,26.0,"[0, 6, 16, 15, 22, 17]",3.2785845,0.11,-2.208665133,noun,9.0,
10,most_masked,"The late afternoon sun cast long shadows across the abandoned cornfield, illuminating dust motes dancing in the air. A lone oak tree, gnarled and ancient, stood sentinel over the field, its branches reaching towards the setting sun. The rusty hinges of an old barn creaked as if they were warning against trespassers.","The smool thrane dwelk flusp nyme frulls squrse the crelched preik, dwawping brauce churses swozing in the gwomb. A grune reese spreme, dwolled and norb, gwarseed frolf over the yerb, its shrins symeing honge the frurf dwelk. The snurn thagues of an shumf braph gluthed as if they were phlalking against shragues.",barn,43.0,"[39, 38, 35, 1, 20, 24]",2.534544,0.3681211174,-0.999343276,noun,5.0,
