trial_number,condition,real_passage,jabber_passage,target_word,target_word_position,unmasked_word_indices,entropy,target_probability,target_log_probability,target_pos,og_passage_seed_number,passage_id
1,some_masked,"As twilight descended, an elderly woman sat upon her favorite porch swing. Her gaze drifted towards the west where the setting sun began to disappear behind the distant hills.","As pheek snarshed, an thelve brugue shikeed fraif her dwem speich spreal. Her sleige snimbed twoice the crerv where the twauling plimp awned to blarm thrish the phlumf norbs.",sat,6.0,"[7, 24, 17]",2.50129056,0.3379013836,-1.08500123,verb,1.0,
2,some_masked,"The wind whistled through the leaves, causing a loud noise that made the glass shiver. A thick layer of fog had blanketed the landscape.","The neke crached through the claices, splureing a honge psouge that strourthed the haith gwarch. A psooch dweb of glonk had claleed the hebe.",fog,19.0,"[21, 16, 23]",1.9457941,0.5682958364,-0.5651131868,noun,18.0,
3,some_masked,This novel held my complete attention from beginning to end; so much that I felt compelled to put the story aside until the very last moment to continue reading.,This croosh spephed my teeve skause from thwieing to dwir; so wrof that I clourse knongled to strimp the geuth smape until the very gwoule splue to shauve kolf.,reading,28.0,"[27, 11, 20]",2.250907183,0.4760811031,-0.7421670556,verb,7.0,
4,some_masked,"A neglected book sat on a dusty armoire, its aged cover and fragile pages giving it an ancient appearance. The scent of old paper lingered in the room.","A dramp slooch shrarced on a rhorque strawn, its wrulched knaff and gheam plaiths grysing it an sloint skarse. The gnith of lerg scush nalphed in the phrus.",dusty,6.0,"[3, 2, 27]",1.4298105,0.560900569,-0.5782116055,adjective,4.0,
5,some_masked,"This painter crafted a striking piece featuring an expansive landscape filled with vivid hues that were applied vigorously. These colors effortlessly flowed into one another, lending it a feeling of  depth and motion.","This vautch raulted a psev anse wrieceing an plaif knorn snoached with snish shreltes that were gholled knurf. These splikes fusp stoled into flerge iche, torgueing it a strealt of gherp and zimn.",landscape,9.0,"[10, 19, 17]",3.6288438,0.181,-1.708976269,noun,10.0,
6,some_masked,"Worried lines were drawn across her aged visage, each wrinkle reflecting the anxieties of her heart. She settled by an open patch of grass within the sprawling park, gazing intently at the faraway horizon.","Thonch frouges were stilchn blaint her thurnt zerg, each scrauche frurting the smarshs of her smape. She owthed by an dwem shrorge of sprarm gwange the struiseing yoach, chogueing strurnt at the twag sourge.",horizon,33.0,"[26, 24, 0]",4.7211604,0.225,-1.49007833,noun,30.0,
7,some_masked,"Striking hues from the evening sun produced a remarkable display across the horizon. Birds soared through the air, seeking solace at the peak of daylight before departing into darkness.","Sproun phrells from the snorl doque phougeed a gwig slalp ghimn the ghalt. Ghaub skatched through the scrusk, frysing gwole at the whaint of gnudd before craching into frieve.",display,9.0,"[10, 8, 26]",3.8184857,0.1145857796,-2.166431665,noun,8.0,
8,some_masked,"Buried deep within layers of earth were remnants of forgotten civilizations. For many years now, archaeologists have been meticulously examining every detail of those remnants.","Crourth clale gloob gwoaths of clourse were gneiks of brulf cloops. For thwiek twokes now, twouses have been phuib dieceing blourse thwebb of those gneiks.",years,13.0,"[12, 19, 3]",1.5848396,0.428,-0.8494111896,noun,22.0,
9,some_masked,"The flickering candlelight illuminated the dusty attic, revealing hidden treasures. A faded tapestry depicting a mythical creature lay draped across an ancient chest.","The trerk dweuce thonched the frabe scosque, shynching grurr crachs. A thrale glalse knigning a spaive lauce shumf ghybeed knaff an blalf dreff.",chest,22.0,"[18, 19, 8]",1.6668924,0.2095914185,-1.562595248,noun,9.0,
10,some_masked,"The wind whipped through the dry, brown grass of the abandoned farm, sending shivers down my spine as it rustled the tattered remnants of a faded welcome sign that read Welcome to Willow Creek. The old, weather-beaten barn stood stoic, its once vibrant red paint now chipped and flaking, revealing the grain of its aged timber underneath.","The shrorge thwunked through the frowse, ghight scrong of the claleed crilt, shrithing plaiths down my gwulp as it smaucheed the thwont hebes of a drobe thilth strilm that flurge Thilth to Bonge Scranc. The thrart, splault-doque splurk shrowed splif, its once phurk scarsh skute now nawked and gneiking, trerveing the troise of its dwem shurb thruch.",barn,37.0,"[38, 32, 22]",3.675704,0.2272582352,-1.481668353,noun,5.0,
